Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,148.509995,149.960007,140.960007,143.149994,143.079773,40127700
2023-01-04,145.669998,148.529999,142.410004,147.490005,147.417679,43132400
2023-01-05,144.910004,145.639999,141.479996,142.649994,142.580048,38916800
2023-01-06,144.740005,150.100006,140.339996,148.589996,148.51712,40504400
2023-01-09,152.839996,160.559998,151.410004,156.279999,156.203354,50423100
2023-01-10,155.070007,159.619995,154.720001,159.089996,159.011978,38410100
2023-01-11,158.399994,160.279999,155.630005,160.009995,159.931519,35328500
2023-01-12,161.0,166.369995,154.919998,165.110001,165.029037,55140900
2023-01-13,162.779999,169.220001,161.649994,168.990005,168.90715,44728700
2023-01-17,168.990005,177.279999,168.990005,177.020004,176.933197,51110200
2023-01-18,176.669998,178.729996,172.820007,173.770004,173.684799,43962400
2023-01-19,170.360001,171.970001,167.309998,167.649994,167.56778,45293200
2023-01-20,170.110001,178.559998,168.25,178.389999,178.302505,56496700
2023-01-23,180.639999,192.449997,178.179993,191.929993,191.835861,65516300
2023-01-24,188.270004,194.949997,188.199997,192.649994,192.555527,49620400
2023-01-25,189.130005,193.699997,185.800003,193.229996,193.135239,44953700
2023-01-26,197.009995,201.660004,192.779999,198.020004,197.922882,48953500
2023-01-27,194.619995,206.279999,194.050003,203.649994,203.550125,54214200
2023-01-30,199.5,201.399994,191.5,191.619995,191.526031,48861100
2023-01-31,191.699997,196.869995,189.5,195.369995,195.274185,49801700
2023-02-01,196.910004,211.919998,196.110001,209.429993,209.327301,66047700
2023-02-02,210.0,219.490005,207.0,217.089996,216.983536,56427600
2023-02-03,210.0,217.449997,207.889999,211.0,210.896545,42936600
2023-02-06,208.059998,215.699997,207.860001,210.889999,210.786591,45219700
2023-02-07,213.820007,222.589996,211.5,221.729996,221.621262,66415000
2023-02-08,223.869995,228.779999,220.080002,222.050003,221.941116,55965100
2023-02-09,226.059998,230.199997,221.199997,223.369995,223.260437,52387600
2023-02-10,216.899994,220.779999,208.110001,212.649994,212.5457,55073700
2023-02-13,215.380005,220.479996,209.619995,217.880005,217.773163,47491900
2023-02-14,215.779999,230.490005,213.660004,229.710007,229.597351,67547400
2023-02-15,225.490005,228.550003,221.059998,227.639999,227.528351,42057500
2023-02-16,221.330002,225.5,219.270004,220.020004,219.912109,41202600
2023-02-17,216.309998,217.399994,209.75,213.880005,213.775146,46588800
2023-02-21,210.0,214.940002,206.179993,206.550003,206.4487,41001500
2023-02-22,207.070007,211.039993,204.210007,207.539993,207.438217,51318400
2023-02-23,234.399994,238.880005,230.25,236.639999,236.523956,111799500
2023-02-24,232.25,234.740005,229.470001,232.860001,232.745804,58971600
2023-02-27,236.699997,238.800003,234.539993,235.009995,234.89473,45299400
2023-02-28,233.720001,238.25,232.059998,232.160004,232.046158,45596300
2023-03-01,231.919998,232.559998,225.080002,226.979996,226.868683,46002600
2023-03-02,224.880005,233.800003,224.320007,233.139999,233.025665,38941500
2023-03-03,233.199997,239.0,231.300003,238.899994,238.782837,41239300
2023-03-06,238.910004,242.479996,234.869995,235.539993,235.4245,43742900
2023-03-07,236.0,241.25,232.410004,232.880005,232.805328,51515400
2023-03-08,234.869995,242.0,234.240005,241.809998,241.732468,51357300
2023-03-09,241.75,244.539993,233.830002,234.360001,234.284866,50125700
2023-03-10,234.089996,236.270004,227.259995,229.649994,229.576355,47486600
2023-03-13,227.520004,232.979996,222.970001,229.660004,229.586365,42189000
2023-03-14,234.960007,242.190002,234.600006,240.630005,240.552841,47491000
2023-03-15,237.610001,242.860001,233.600006,242.279999,242.202301,52448600
2023-03-16,240.270004,255.880005,238.940002,255.410004,255.32811,58325300
2023-03-17,259.820007,263.98999,256.679993,257.25,257.167542,84854700
2023-03-20,256.149994,260.23999,251.300003,259.0,258.916962,43274700
2023-03-21,261.799988,263.920013,253.809998,261.98999,261.905975,54740800
2023-03-22,264.25,275.890015,262.369995,264.679993,264.595154,79729500
2023-03-23,271.149994,274.98999,266.899994,271.910004,271.822815,56488900
2023-03-24,270.309998,271.670013,263.549988,267.790009,267.704132,45492000
2023-03-27,268.369995,270.0,263.649994,265.309998,265.224915,36102600
2023-03-28,264.470001,265.130005,258.5,264.100006,264.01532,35610400
2023-03-29,268.25,270.779999,265.970001,269.839996,269.753479,39369400
2023-03-30,272.290009,274.98999,271.019989,273.829987,273.742188,36451600
2023-03-31,271.399994,278.339996,271.049988,277.769989,277.680908,43393300
2023-04-03,275.089996,280.0,273.359985,279.649994,279.560333,39871600
2023-04-04,279.660004,280.0,273.070007,274.529999,274.441956,36859200
2023-04-05,268.290009,269.980011,263.950012,268.809998,268.723816,51501500
2023-04-06,265.839996,270.799988,264.269989,270.369995,270.283295,39765400
2023-04-10,268.230011,276.209991,266.690002,275.790009,275.701599,39527900
2023-04-11,277.23999,277.899994,271.26001,271.690002,271.602875,31437800
2023-04-12,273.700012,274.679993,264.480011,264.950012,264.865082,44625900
2023-04-13,267.339996,268.869995,263.290009,264.630005,264.545166,35361500
2023-04-14,265.040009,268.829987,262.200012,267.579987,267.494202,39566000
2023-04-17,265.649994,270.059998,264.329987,270.019989,269.93338,32147100
2023-04-18,275.329987,281.100006,273.570007,276.670013,276.581299,60481200
2023-04-19,273.609985,280.0,272.320007,279.309998,279.220428,35866000
2023-04-20,276.709991,280.299988,270.0,271.040009,270.953064,42771300
2023-04-21,269.519989,271.829987,267.220001,271.190002,271.103027,34510300
2023-04-24,270.130005,273.660004,266.709991,270.420013,270.333282,33928200
2023-04-25,270.779999,272.470001,262.25,262.410004,262.325867,37852700
2023-04-26,270.019989,273.299988,267.049988,269.559998,269.473572,40633700
2023-04-27,273.630005,274.950012,266.25,272.26001,272.172729,37716100
2023-04-28,272.25,277.579987,270.709991,277.48999,277.401031,29168700
2023-05-01,278.399994,290.579987,277.799988,289.100006,289.007324,57032900
2023-05-02,286.799988,288.359985,280.829987,282.100006,282.009583,40273000
2023-05-03,278.399994,283.670013,274.720001,278.019989,277.930847,38338700
2023-05-04,276.51001,278.589996,272.399994,275.619995,275.531586,32185000
2023-05-05,278.26001,287.549988,277.309998,286.799988,286.708038,36101400
2023-05-08,285.220001,292.200012,283.5,291.51001,291.416534,34497900
2023-05-09,288.98999,289.730011,284.5,285.709991,285.618378,31486900
2023-05-10,290.049988,291.130005,284.609985,288.850006,288.757385,36935000
2023-05-11,288.959991,289.5,282.459991,285.779999,285.688385,32214900
2023-05-12,285.290009,287.799988,280.459991,283.399994,283.309143,27402700
